name,success,function,hz,rme,samples
0_empty.arr,true,parse,250.80085300686827,3.701134056835479,77
0_empty.arr,true,load,3.3907837850535736,11.492838960024969,21
0_empty.arr,true,eval,218.1355222251836,24.620587500944605,69
1_empty-with-comments.arr,true,parse,3.4508569437926018,9.26962950982126,13
1_empty-with-comments.arr,true,load,3.0827559328645213,9.843183654624871,20
1_empty-with-comments.arr,true,eval,231.00150691370533,16.675782404554997,59
adding-ones-2000.arr,true,parse,0.44086076792318923,46.51004742350171,6
adding-ones-2000.arr,true,load,0.02020484380657398,7.375251281664943,5
adding-ones-2000.arr,true,eval,29.445378588034966,178.45055222919615,30
anf-loop-compiler.arr,true,parse,0.18009525451388095,21.832383884210465,5
anf-loop-compiler.arr,true,load,0.009360504069897357,3.298335114734361,5
anf-loop-compiler.arr,true,eval,8.617353307416776,200.69912234843613,22
ast.arr,true,parse,0.031862390983111874,63.73504365933391,5
ast.arr,true,load,0.0031767693622785833,7.046528697234518,5
ast.arr,true,eval,4.348852823035539,207.4962801979513,15
bignum-factorial-2000.arr,true,parse,40.950276381176785,6.9831499192524165,43
bignum-factorial-2000.arr,true,load,1.6911745668211642,11.186695073551984,13
bignum-factorial-2000.arr,true,eval,66.80714633837722,110.36530492081187,42
inner-function-1000.arr,true,parse,34.845637851093585,6.810329110451244,58
inner-function-1000.arr,true,load,1.21541195442544,14.016106238531142,10
inner-function-1000.arr,true,eval,215.92446124966688,22.189924354925683,61
list-set-const-1000.arr,true,parse,40.54644955392726,7.236173167142137,36
list-set-const-1000.arr,true,load,1.308238440866356,13.773971526780802,10
list-set-const-1000.arr,true,eval,75.61645096091108,63.016973655516715,31
list-set-grow-1000.arr,true,parse,34.0658412133326,7.112048841216592,44
list-set-grow-1000.arr,true,load,1.170375604610844,18.363646366248172,10
list-set-grow-1000.arr,true,eval,3.8984322469548016,204.5903749671561,21
many-links-100000.arr,true,parse,149.53412478263922,9.46547790894191,54
many-links-100000.arr,true,load,2.5776923967478473,8.506507279324921,17
many-links-100000.arr,true,eval,16.029685321003484,182.8553750138657,74
method-calls-10000.arr,true,parse,50.73256957204189,3.4868602374877358,54
method-calls-10000.arr,true,load,1.7853549097116295,28.51699081335046,12
method-calls-10000.arr,true,eval,13.819466148346693,189.36256787132038,16
mutable-string-dict-const-10000.arr,true,parse,40.425046001675355,7.684171439698359,53
mutable-string-dict-const-10000.arr,true,load,1.5031395495183137,13.888128371056519,12
mutable-string-dict-const-10000.arr,true,eval,7.2420995314878365,206.2951453521107,16
mutable-string-dict-grow-10000.arr,true,parse,39.31096536608556,22.656256208048593,45
mutable-string-dict-grow-10000.arr,true,load,1.4680475207119472,9.568668302540997,12
mutable-string-dict-grow-10000.arr,true,eval,15.908140559467514,202.43352457079345,12
recursion-triangle-20000.arr,true,parse,23.365243806435057,15.177046714983053,31
recursion-triangle-20000.arr,true,load,1.4356642997706486,48.83101817260159,14
recursion-triangle-20000.arr,true,eval,28.052957191817274,188.01407485280254,13
recursion-triangle-annotated-20000.arr,true,parse,32.43540826216892,14.048864734467593,42
recursion-triangle-annotated-20000.arr,true,load,1.8471207612057148,44.311404443091746,18
recursion-triangle-annotated-20000.arr,true,eval,48.415005046028696,165.5352713789386,18
recursive-calls-10000.arr,true,parse,64.67179764169133,5.978455796520171,54
recursive-calls-10000.arr,true,load,2.7116619976478415,57.64120287323308,21
recursive-calls-10000.arr,true,eval,4.348864475063383,208.79849223970504,16
string-allocation-10000.arr,true,parse,89.09642692491175,4.189981928956155,61
string-allocation-10000.arr,true,load,3.1279658770518566,12.089177028520707,19
string-allocation-10000.arr,true,eval,48.16352231945048,136.3650282131967,58
string-dict-const-10000.arr,true,parse,37.69205735962452,8.56285186358265,47
string-dict-const-10000.arr,true,load,3.0824555245743417,18.05638080575176,22
string-dict-const-10000.arr,true,eval,14.672402943074463,181.63883919974003,34
string-dict-grow-10000.arr,true,parse,50.64197897122097,4.401285823903063,60
string-dict-grow-10000.arr,true,load,2.543654015905863,17.62539897089594,17
string-dict-grow-10000.arr,true,eval,3.4597009759591053,204.90306980674185,22
tree-set-const-10000.arr,true,parse,30.10992170093069,48.779845373736144,44
tree-set-const-10000.arr,true,load,2.6291784881895635,8.957348712788095,18
tree-set-const-10000.arr,true,eval,47.978946501102975,152.21856004764948,49
tree-set-grow-10000.arr,true,parse,42.22218172063784,7.854538715835078,54
tree-set-grow-10000.arr,true,load,2.6211716228334065,15.456928159148273,19
tree-set-grow-10000.arr,true,eval,3.8970294964271406,192.71117073696394,39
