name,success,function,hz,rme,samples
0_empty.arr,true,parse,246.42709323483302,1.5834179790838478,33
0_empty.arr,true,load,3.304689611713443,14.065984596917684,20
0_empty.arr,true,eval,236.5852437421571,17.033396149376653,74
1_empty-with-comments.arr,true,parse,5.351279690918718,12.717377667186671,18
1_empty-with-comments.arr,true,load,3.030136468969032,15.854214373815797,19
1_empty-with-comments.arr,true,eval,221.78502427669338,22.05957670605284,63
adding-ones-2000.arr,true,parse,0.6565025417154593,14.425826932584338,6
adding-ones-2000.arr,true,load,0.018649651011403253,5.145161198603486,5
adding-ones-2000.arr,true,eval,18.97580794135732,199.1130220968296,14
anf-loop-compiler.arr,true,parse,0.15205785478135925,16.14131512968007,5
anf-loop-compiler.arr,true,load,0.009700200940899266,3.8986734696578527,5
anf-loop-compiler.arr,true,eval,9.896279038560039,185.64365658566757,39
ast.arr,true,parse,0.033034500391474216,77.82649936235406,5
ast.arr,true,load,0.002828889920250343,8.842652151257923,5
ast.arr,true,eval,7.5861398410845,201.76022358102318,21
bignum-factorial-2000.arr,true,parse,40.44664427076426,8.085525581034675,29
bignum-factorial-2000.arr,true,load,1.6139235552864568,9.525736355281472,13
bignum-factorial-2000.arr,true,eval,62.359233267049085,127.95878388064972,16
inner-function-1000.arr,true,parse,31.191838112588794,8.123531313539527,54
inner-function-1000.arr,true,load,1.2115636204375666,9.288959080682488,10
inner-function-1000.arr,true,eval,100.05590496289425,119.22120577184504,11
list-set-const-1000.arr,true,parse,40.51057300691116,7.7651598798759185,37
list-set-const-1000.arr,true,load,1.6525030506259786,10.554847861344054,12
list-set-const-1000.arr,true,eval,75.06712244948449,72.91147665787933,24
list-set-grow-1000.arr,true,parse,28.990449682524847,20.286126013329046,41
list-set-grow-1000.arr,true,load,1.9038341653370356,6.444949664750596,14
list-set-grow-1000.arr,true,eval,4.112927265601808,207.6392371043408,17
many-links-100000.arr,true,parse,164.43935063309107,7.80623042110921,59
many-links-100000.arr,true,load,2.497750278528027,10.987565008589804,17
many-links-100000.arr,true,eval,7.6113444885082675,181.22386249478072,45
method-calls-10000.arr,true,parse,44.16811225874679,7.107873411514438,56
method-calls-10000.arr,true,load,1.899109797895161,27.90016460883607,18
method-calls-10000.arr,true,eval,26.016319749358935,185.3435782920589,17
mutable-string-dict-const-10000.arr,true,parse,33.68256306752268,9.135121995433641,47
mutable-string-dict-const-10000.arr,true,load,1.6388570110924634,16.270271877497393,13
mutable-string-dict-const-10000.arr,true,eval,20.392754056510235,197.55139645927193,12
mutable-string-dict-grow-10000.arr,true,parse,28.46082677873023,10.785055270160452,39
mutable-string-dict-grow-10000.arr,true,load,1.369994065829604,31.980852762553972,12
mutable-string-dict-grow-10000.arr,true,eval,30.962946567445666,181.86443091102927,16
recursion-triangle-20000.arr,true,parse,45.169636079075126,6.066043180353444,47
recursion-triangle-20000.arr,true,load,3.144783123050911,15.004721776069765,21
recursion-triangle-20000.arr,true,eval,103.76560785074936,109.12177025777542,18
recursion-triangle-annotated-20000.arr,true,parse,21.86608626715602,26.111786243044488,21
recursion-triangle-annotated-20000.arr,true,load,1.2634399945548767,8.432619873617819,11
recursion-triangle-annotated-20000.arr,true,eval,40.539174858639,169.3073535493954,18
recursive-calls-10000.arr,true,parse,49.69909201477342,19.57962613200052,54
recursive-calls-10000.arr,true,load,3.335532532309431,12.423814494163581,22
recursive-calls-10000.arr,true,eval,27.374434413231224,189.63988354176863,14
string-allocation-10000.arr,true,parse,62.666793335652855,10.481040966761837,42
string-allocation-10000.arr,true,load,1.1930685340751792,9.66487070029455,11
string-allocation-10000.arr,true,eval,12.823405795573153,192.68250957477878,24
string-dict-const-10000.arr,true,parse,27.951060059854658,14.768326961743439,37
string-dict-const-10000.arr,true,load,1.677736310122781,26.113487828351893,14
string-dict-const-10000.arr,true,eval,3.6916308988470945,214.40694086731983,13
string-dict-grow-10000.arr,true,parse,53.326156812662475,3.9494636578166777,57
string-dict-grow-10000.arr,true,load,2.2140101665929883,16.45818213070805,15
string-dict-grow-10000.arr,true,eval,5.175068794291182,192.78584320614218,29
tree-set-const-10000.arr,true,parse,45.7326207059145,7.482046391283979,48
tree-set-const-10000.arr,true,load,2.930964906771035,25.985716779223754,23
tree-set-const-10000.arr,true,eval,25.72726793603655,191.77030784636335,14
tree-set-grow-10000.arr,true,parse,45.06789447997548,7.496199050075611,49
tree-set-grow-10000.arr,true,load,2.690111050399973,25.86894838346566,21
tree-set-grow-10000.arr,true,eval,2.802517065508395,202.4087793450212,29
