name,success,function,hz,rme,samples
0_empty.arr,true,parse,250.761341563924,1.1727699336180346,34
0_empty.arr,true,load,9.173830557468776,5.397764372521283,47
0_empty.arr,true,eval,255.5108939424693,10.167302345791484,71
1_empty-with-comments.arr,true,parse,9.105410239908775,4.096282126277616,26
1_empty-with-comments.arr,true,load,7.18332102546613,7.862659386450526,41
1_empty-with-comments.arr,true,eval,225.227843854269,11.83435057435536,49
adding-ones-2000.arr,true,parse,1.254736311185386,45.624931898388624,8
adding-ones-2000.arr,true,load,0.02417026140380368,14.756661296719106,5
adding-ones-2000.arr,true,eval,100.17051613306735,117.57093028783274,74
anf-loop-compiler.arr,true,parse,0.11217252872025298,79.01535409427781,5
anf-loop-compiler.arr,true,load,0.012677551651813636,4.984066527565057,5
anf-loop-compiler.arr,true,eval,9.26837094431226,202.2507470761356,19
ast.arr,true,parse,0.05718910633000624,15.304605843382818,5
ast.arr,true,load,0.003274602820426306,32.14094107258237,5
ast.arr,true,eval,16.307228952108606,193.74102979125843,21
bignum-factorial-2000.arr,true,parse,55.249884925020474,61.922659409833116,47
bignum-factorial-2000.arr,true,load,2.199633834023807,14.17587438926401,15
bignum-factorial-2000.arr,true,eval,40.303041811849255,176.78289230866278,15
inner-function-1000.arr,true,parse,58.10583224067566,11.423185390492572,65
inner-function-1000.arr,true,load,1.4999291269988129,124.41625648361875,15
inner-function-1000.arr,true,eval,239.0671841050952,9.722083790320681,74
list-set-const-1000.arr,true,parse,38.74581110536277,11.331423249919574,40
list-set-const-1000.arr,true,load,2.68186757192439,26.252954825362558,18
list-set-const-1000.arr,true,eval,238.19820399506983,9.594013503405911,48
list-set-grow-1000.arr,true,parse,66.48100332199479,6.682087346283616,48
list-set-grow-1000.arr,true,load,1.5978764160645946,16.48626572903019,12
list-set-grow-1000.arr,true,eval,3.4753833254922717,212.5498758588131,14
many-links-100000.arr,true,parse,160.9495773733237,15.606185077516486,46
many-links-100000.arr,true,load,4.632144075546912,7.723638040745113,26
many-links-100000.arr,true,eval,9.424600354101235,195.15501806555758,27
method-calls-10000.arr,true,parse,48.701057270994745,20.09211386232601,57
method-calls-10000.arr,true,load,3.1393993134687554,15.043267212166059,19
method-calls-10000.arr,true,eval,30.729824127724545,186.80291114516942,13
mutable-string-dict-const-10000.arr,true,parse,37.900061628853805,29.462071676615437,55
mutable-string-dict-const-10000.arr,true,load,2.0622647695735403,4.0736378468236305,15
mutable-string-dict-const-10000.arr,true,eval,18.16265228497337,199.23988213781502,13
mutable-string-dict-grow-10000.arr,true,parse,38.67213325809522,24.2183311009462,55
mutable-string-dict-grow-10000.arr,true,load,1.8525213888579917,2.60218459587422,14
mutable-string-dict-grow-10000.arr,true,eval,21.792579425521208,192.65344151397323,15
recursion-triangle-20000.arr,true,parse,30.560404420531246,35.475829206010644,40
recursion-triangle-20000.arr,true,load,2.0952060913175767,2.5516645796746134,15
recursion-triangle-20000.arr,true,eval,56.66586847078202,155.52831454811331,16
recursion-triangle-annotated-20000.arr,true,parse,39.354723302618645,8.22677902379528,65
recursion-triangle-annotated-20000.arr,true,load,1.7927920503646102,17.290096464984046,14
recursion-triangle-annotated-20000.arr,true,eval,41.73100846431268,176.5643129350367,14
recursive-calls-10000.arr,true,parse,51.513680161149885,7.295671524770143,64
recursive-calls-10000.arr,true,load,1.9750110902180558,19.655826963019717,16
recursive-calls-10000.arr,true,eval,28.234476731607156,189.58608173007494,14
string-allocation-10000.arr,true,parse,83.4008669920574,10.870438656420282,52
string-allocation-10000.arr,true,load,1.6326728811043463,15.922591066019844,13
string-allocation-10000.arr,true,eval,56.14206983655202,141.63030689917463,65
string-dict-const-10000.arr,true,parse,54.22782341525043,5.676948464807644,63
string-dict-const-10000.arr,true,load,1.9230631990624392,2.992385800030625,14
string-dict-const-10000.arr,true,eval,4.267126874143943,211.7516808741138,14
string-dict-grow-10000.arr,true,parse,30.866732023232586,3.3733638435118847,41
string-dict-grow-10000.arr,true,load,1.8680149303532403,11.473927054470934,14
string-dict-grow-10000.arr,true,eval,1.6489518108315613,216.25095524511545,13
tree-set-const-10000.arr,true,parse,52.35773406089786,5.063177200156329,65
tree-set-const-10000.arr,true,load,2.0079363219962927,2.823944220828551,15
tree-set-const-10000.arr,true,eval,21.283604232743116,183.25563508899242,30
tree-set-grow-10000.arr,true,parse,40.08480393838797,12.496993479603987,55
tree-set-grow-10000.arr,true,load,1.4321236624043887,29.227744000959888,14
tree-set-grow-10000.arr,true,eval,2.7699912492095433,189.99532224519544,45
