name,success,function,hz,rme,samples
0_empty.arr,true,parse,255.94337865548823,1.6992835125607948,60
0_empty.arr,true,load,2.990788044622926,8.498366310623396,19
0_empty.arr,true,eval,220.49450753380884,24.138314745484006,66
1_empty-with-comments.arr,true,parse,3.5170525543001605,13.285381097390026,13
1_empty-with-comments.arr,true,load,3.1131888309073346,11.086543728476098,19
1_empty-with-comments.arr,true,eval,207.5497111857404,30.2617984741988,66
adding-ones-2000.arr,true,parse,0.6793889665812131,14.230246071537806,6
adding-ones-2000.arr,true,load,0.020311810891703242,3.7038690541347314,5
adding-ones-2000.arr,true,eval,28.833857730304953,183.34086084185003,19
anf-loop-compiler.arr,true,parse,0.17087685836516858,23.106038951754222,5
anf-loop-compiler.arr,true,load,0.010273546793251433,14.66841679777755,5
anf-loop-compiler.arr,true,eval,5.725527748864559,212.8189675117846,13
ast.arr,true,parse,0.08476679663846459,39.90706705613921,5
ast.arr,true,load,0.005282346703523792,29.321420720212476,5
ast.arr,true,eval,2.3536486177944953,259.6364166159068,5
bignum-factorial-2000.arr,true,parse,62.44827890537057,3.6431192090222746,61
bignum-factorial-2000.arr,true,load,3.472993189484666,11.827424563871753,23
bignum-factorial-2000.arr,true,eval,86.45510267527686,106.79830921438965,22
inner-function-1000.arr,true,parse,38.79634378747151,7.516893690624306,48
inner-function-1000.arr,true,load,3.113398678714698,5.907804896076803,20
inner-function-1000.arr,true,eval,230.0299987602949,10.222622346943275,47
list-set-const-1000.arr,true,parse,56.082429430849494,5.752481189144374,38
list-set-const-1000.arr,true,load,2.920100182784093,15.472162158842284,18
list-set-const-1000.arr,true,eval,143.02554978434938,52.99725522139622,58
list-set-grow-1000.arr,true,parse,50.1800063895654,11.194264707563315,53
list-set-grow-1000.arr,true,load,3.550495413592436,6.421045720078182,22
list-set-grow-1000.arr,true,eval,6.236255392681611,211.7811046294022,13
many-links-100000.arr,true,parse,140.22262217736977,7.017395740252851,26
many-links-100000.arr,true,load,3.8690424829538013,13.785893319477074,23
many-links-100000.arr,true,eval,9.74236018133802,202.7471897072146,17
method-calls-10000.arr,true,parse,56.92078613850869,10.802347844179948,52
method-calls-10000.arr,true,load,4.091198768470347,6.460617279278584,24
method-calls-10000.arr,true,eval,45.64233968903106,171.02556939617244,14
mutable-string-dict-const-10000.arr,true,parse,57.750656889097876,4.091828857639493,54
mutable-string-dict-const-10000.arr,true,load,4.147544865221724,6.734862655391128,25
mutable-string-dict-const-10000.arr,true,eval,42.62021217050691,177.735654487211,12
mutable-string-dict-grow-10000.arr,true,parse,55.708502688620364,5.315442867917305,57
mutable-string-dict-grow-10000.arr,true,load,2.8730640361156876,8.989187484911403,19
mutable-string-dict-grow-10000.arr,true,eval,39.98553777516172,172.72136655357806,17
recursion-triangle-20000.arr,true,parse,58.69502105743911,5.777569580902388,44
recursion-triangle-20000.arr,true,load,3.1704325877896187,6.751803062949239,20
recursion-triangle-20000.arr,true,eval,79.12137776261386,131.1257097343706,20
recursion-triangle-annotated-20000.arr,true,parse,61.92982650947026,5.69892359407423,55
recursion-triangle-annotated-20000.arr,true,load,2.9521610552290283,10.054179104439958,18
recursion-triangle-annotated-20000.arr,true,eval,57.564249986435975,157.037735264052,16
recursive-calls-10000.arr,true,parse,52.95000508798765,3.369296334100237,55
recursive-calls-10000.arr,true,load,2.7780022369288893,12.664666352870743,18
recursive-calls-10000.arr,true,eval,57.38111551433438,135.70780150046633,65
string-allocation-10000.arr,true,parse,93.58035839809409,3.66648636023392,53
string-allocation-10000.arr,true,load,4.230039935966476,11.54982913755798,26
string-allocation-10000.arr,true,eval,54.37937256321852,108.66505366317547,52
string-dict-const-10000.arr,true,parse,42.47578881089656,7.189381690770194,53
string-dict-const-10000.arr,true,load,3.4641250318251045,12.37258769346547,23
string-dict-const-10000.arr,true,eval,8.090381284308888,206.78581266342854,15
string-dict-grow-10000.arr,true,parse,49.73979834673582,4.590864443015024,53
string-dict-grow-10000.arr,true,load,2.078231945312584,19.35352172059256,14
string-dict-grow-10000.arr,true,eval,4.371436726523677,203.4736972981356,23
tree-set-const-10000.arr,true,parse,43.09143770647585,4.191738510760904,58
tree-set-const-10000.arr,true,load,2.319896891570201,16.73624120796925,15
tree-set-const-10000.arr,true,eval,14.557766237714544,202.27264834234754,14
tree-set-grow-10000.arr,true,parse,42.13090901830988,7.604651836446272,52
tree-set-grow-10000.arr,true,load,2.7361507730207433,16.375077558344184,20
tree-set-grow-10000.arr,true,eval,3.257257422081948,193.28526835076758,34
