name,success,function,hz,rme,samples
0_empty.arr,true,parse,244.26927625986977,2.0450820787047945,30
0_empty.arr,true,load,2.913165774612994,19.97612086411669,20
0_empty.arr,true,eval,250.5512066824786,6.585841234271748,37
1_empty-with-comments.arr,true,parse,7.596745416597292,11.685188055153429,23
1_empty-with-comments.arr,true,load,3.4405337352404692,11.488195094023594,22
1_empty-with-comments.arr,true,eval,212.23218359865405,16.118803929044248,61
adding-ones-2000.arr,true,parse,0.4472864790760085,38.0434756756402,6
adding-ones-2000.arr,true,load,0.03329437003966862,14.34036430044574,5
adding-ones-2000.arr,true,eval,25.315179894944595,180.63275397536148,25
anf-loop-compiler.arr,true,parse,0.17739851354402156,39.33834749648902,5
anf-loop-compiler.arr,true,load,0.023917778873258373,7.551952659515651,5
anf-loop-compiler.arr,true,eval,7.009211067083396,211.38759196944582,13
ast.arr,true,parse,0.07070687002140422,27.204053492723702,5
ast.arr,true,load,0.009216352757052331,11.82866701001961,5
ast.arr,true,eval,7.707337718306266,198.76841750301418,25
bignum-factorial-2000.arr,true,parse,12.117607015314995,158.44461126066648,16
bignum-factorial-2000.arr,true,load,1.2165274905100483,28.31972117201748,11
bignum-factorial-2000.arr,true,eval,85.30476967852958,136.2840679502769,13
inner-function-1000.arr,true,parse,28.19331203278529,10.204446641007088,38
inner-function-1000.arr,true,load,1.3670163008203458,13.775222953338185,11
inner-function-1000.arr,true,eval,223.65714144372174,13.085098361057357,66
list-set-const-1000.arr,true,parse,54.03284895303609,9.092303311168001,46
list-set-const-1000.arr,true,load,1.2496487622164427,8.47699103488522,11
list-set-const-1000.arr,true,eval,93.38875294043613,120.08062594440068,12
list-set-grow-1000.arr,true,parse,48.96358906964429,7.726646286155013,44
list-set-grow-1000.arr,true,load,1.4530946070391422,10.100696878334398,12
list-set-grow-1000.arr,true,eval,2.3733116748275234,217.6836123877061,12
many-links-100000.arr,true,parse,156.8406625402216,7.404895160556239,54
many-links-100000.arr,true,load,1.1403129485438088,23.802716913258635,10
many-links-100000.arr,true,eval,2.8785486529908257,214.98891344498782,13
method-calls-10000.arr,true,parse,34.92851723471233,30.279152864050456,39
method-calls-10000.arr,true,load,1.124356926698014,11.13474407231326,10
method-calls-10000.arr,true,eval,22.656681566055425,193.59179657273057,13
mutable-string-dict-const-10000.arr,true,parse,41.092534381837865,8.657369308683679,49
mutable-string-dict-const-10000.arr,true,load,1.1508629513078352,10.783929031752747,10
mutable-string-dict-const-10000.arr,true,eval,18.057512974675234,195.55876897185522,15
mutable-string-dict-grow-10000.arr,true,parse,45.396326187063906,8.571834643546778,54
mutable-string-dict-grow-10000.arr,true,load,1.7873994407510658,0.848532783229872,13
mutable-string-dict-grow-10000.arr,true,eval,13.55211154746907,205.7609264589417,12
recursion-triangle-20000.arr,true,parse,28.034714133154225,10.332884714623537,41
recursion-triangle-20000.arr,true,load,1.0683659815630175,10.133167590057418,10
recursion-triangle-20000.arr,true,eval,29.550139163684943,182.18529925053127,18
recursion-triangle-annotated-20000.arr,true,parse,20.898553778217586,41.813864561110606,30
recursion-triangle-annotated-20000.arr,true,load,1.1848289936431957,17.365059016575476,11
recursion-triangle-annotated-20000.arr,true,eval,32.75180574917727,188.15798369947302,12
recursive-calls-10000.arr,true,parse,33.83879403559938,47.87660523058487,38
recursive-calls-10000.arr,true,load,1.2648056055822936,10.315246919866434,11
recursive-calls-10000.arr,true,eval,16.566083972693214,203.7581874740719,12
string-allocation-10000.arr,true,parse,53.80103222547762,34.80520010360692,44
string-allocation-10000.arr,true,load,1.3270294496317754,12.245509198823587,11
string-allocation-10000.arr,true,eval,17.41869409451821,203.11628630267106,12
string-dict-const-10000.arr,true,parse,19.768986658165723,44.65064418750183,35
string-dict-const-10000.arr,true,load,1.171868207825234,9.652039057545796,11
string-dict-const-10000.arr,true,eval,4.193186514009009,215.94180074275542,12
string-dict-grow-10000.arr,true,parse,27.823344637493676,42.185408788890044,45
string-dict-grow-10000.arr,true,load,1.0528376276938092,9.009974422190236,10
string-dict-grow-10000.arr,true,eval,1.4629135966889946,210.61645831137582,17
tree-set-const-10000.arr,true,parse,39.33717281635817,8.45869465046351,52
tree-set-const-10000.arr,true,load,1.1793924232109279,9.018987017104704,10
tree-set-const-10000.arr,true,eval,8.761281777643566,204.36399340250358,16
tree-set-grow-10000.arr,true,parse,43.75354075901494,6.537064477337529,55
tree-set-grow-10000.arr,true,load,1.1201943086000767,11.17299739304958,10
tree-set-grow-10000.arr,true,eval,1.7200722589189603,206.4948807778512,22
