name,success,function,hz,rme,samples
0_empty.arr,true,parse,250.2703723451842,1.8909183290948368,59
0_empty.arr,true,load,1.5301206573354582,22.060484296930458,12
0_empty.arr,true,eval,227.10294180573234,24.173332484801126,34
1_empty-with-comments.arr,true,parse,2.2744950459451987,13.917066848741392,10
1_empty-with-comments.arr,true,load,1.0357847666098383,14.437834283497992,10
1_empty-with-comments.arr,true,eval,229.16216678574804,26.436935489014534,58
adding-ones-2000.arr,true,parse,0.48437983676855295,22.35526505307575,6
adding-ones-2000.arr,true,load,0.037869038963766345,19.923046617297654,5
adding-ones-2000.arr,true,eval,17.15899058681672,197.88646226548485,11
anf-loop-compiler.arr,true,parse,0.17710408142736003,17.52724750793395,5
anf-loop-compiler.arr,true,load,0.02405364288357248,11.449968261958423,5
anf-loop-compiler.arr,true,eval,6.080107715491596,208.30979014292598,15
ast.arr,true,parse,0.060773316437701494,18.628784263205322,5
ast.arr,true,load,0.008764091074959133,6.255215261177235,5
ast.arr,true,eval,3.7009200180290938,202.49370564420568,24
bignum-factorial-2000.arr,true,parse,28.386613456616182,34.94658390350461,32
bignum-factorial-2000.arr,true,load,0.1583671496904092,206.8713351784174,5
bignum-factorial-2000.arr,true,eval,8.683671623960521,192.7971523596979,14
inner-function-1000.arr,true,parse,26.425993684394008,41.00120260010617,45
inner-function-1000.arr,true,load,1.0550350257350403,37.55324185425984,9
inner-function-1000.arr,true,eval,199.26433221637933,22.906701735327285,42
list-set-const-1000.arr,true,parse,24.703596957478865,17.46454009677392,46
list-set-const-1000.arr,true,load,1.018066914263153,15.421569018859538,10
list-set-const-1000.arr,true,eval,99.5604679080745,86.63972549144205,38
list-set-grow-1000.arr,true,parse,32.46621902850521,16.997902919720993,47
list-set-grow-1000.arr,true,load,0.8479111431721011,59.80167869653822,10
list-set-grow-1000.arr,true,eval,2.6026107309982014,210.48913107686934,16
many-links-100000.arr,true,parse,144.19596262690916,7.2759838085291975,59
many-links-100000.arr,true,load,1.2122000240771775,17.97331768165146,10
many-links-100000.arr,true,eval,2.571287221444283,205.67432745559304,22
method-calls-10000.arr,true,parse,29.370239048111127,11.053482476960742,40
method-calls-10000.arr,true,load,0.5107478510521409,164.42575576051286,5
method-calls-10000.arr,true,eval,26.834062435543036,186.6429437232151,15
mutable-string-dict-const-10000.arr,true,parse,24.44634976309058,17.554231854739914,37
mutable-string-dict-const-10000.arr,true,load,1.0770932594974216,8.657140167530306,10
mutable-string-dict-const-10000.arr,true,eval,14.893879380956262,204.73337852306076,12
mutable-string-dict-grow-10000.arr,true,parse,39.65288348242897,10.430097477801684,54
mutable-string-dict-grow-10000.arr,true,load,1.0992160797519237,9.604157839210357,10
mutable-string-dict-grow-10000.arr,true,eval,16.455994541448828,200.71865392684555,13
recursion-triangle-20000.arr,true,parse,25.402387553550447,51.89119948515226,31
recursion-triangle-20000.arr,true,load,1.0808372027273665,8.227391410146264,10
recursion-triangle-20000.arr,true,eval,26.608746228018354,191.31932540448966,12
recursion-triangle-annotated-20000.arr,true,parse,24.85579354404607,18.270645462048247,34
recursion-triangle-annotated-20000.arr,true,load,1.138762071864285,12.492795784117892,11
recursion-triangle-annotated-20000.arr,true,eval,22.442954804665447,189.98044998003186,18
recursive-calls-10000.arr,true,parse,33.36175572526679,52.68534943155815,33
recursive-calls-10000.arr,true,load,1.107733136758851,13.378830931257948,10
recursive-calls-10000.arr,true,eval,18.231366719832803,201.8300831487176,12
string-allocation-10000.arr,true,parse,57.932501832201126,9.466791518438905,39
string-allocation-10000.arr,true,load,1.09930363550381,8.42227539890031,10
string-allocation-10000.arr,true,eval,25.60521829990617,188.83643746631975,16
string-dict-const-10000.arr,true,parse,27.68929538606666,48.17189320764692,37
string-dict-const-10000.arr,true,load,1.4307230853549058,8.042324717455246,12
string-dict-const-10000.arr,true,eval,3.070820625549036,216.98007287916337,12
string-dict-grow-10000.arr,true,parse,40.17888598556681,9.361750825807553,51
string-dict-grow-10000.arr,true,load,1.037363218304279,7.359552022834291,10
string-dict-grow-10000.arr,true,eval,1.4126637512625602,211.72155000967896,16
tree-set-const-10000.arr,true,parse,61.697412385825025,4.309627437345544,75
tree-set-const-10000.arr,true,load,1.082524771224898,14.324495141032214,10
tree-set-const-10000.arr,true,eval,17.6981099326404,178.40523809436527,37
tree-set-grow-10000.arr,true,parse,29.252522368360292,21.266340091392696,38
tree-set-grow-10000.arr,true,load,1.167408129897353,8.557361289792782,11
tree-set-grow-10000.arr,true,eval,0.8332322879164717,211.2219228162029,17
