name,success,function,hz,rme,samples
0_empty.arr,true,parse,249.72683737431686,2.9203095933755217,57
0_empty.arr,true,load,2.905388086707661,8.998515214140136,18
0_empty.arr,true,eval,210.42674172499432,29.742440171977787,60
1_empty-with-comments.arr,true,parse,4.166032845272356,8.576426276573338,15
1_empty-with-comments.arr,true,load,2.8273355726866707,7.012575555088054,18
1_empty-with-comments.arr,true,eval,208.54190578313307,28.13408652565352,66
adding-ones-2000.arr,true,parse,0.5546340998656961,22.51840980698546,6
adding-ones-2000.arr,true,load,0.02148157081064922,6.833086077001756,5
adding-ones-2000.arr,true,eval,41.23351960873188,170.62049922294477,28
anf-loop-compiler.arr,true,parse,0.11826139924185879,58.34604581615255,5
anf-loop-compiler.arr,true,load,0.009905232854767172,6.157190436007293,5
anf-loop-compiler.arr,true,eval,21.339357037404927,169.85226482149363,61
ast.arr,true,parse,0.04848120619161044,71.50423646474506,5
ast.arr,true,load,0.002903071057501773,4.492573172318245,5
ast.arr,true,eval,2.202189141616045,215.83073408298804,13
bignum-factorial-2000.arr,true,parse,46.665102141342196,6.1457761984538495,49
bignum-factorial-2000.arr,true,load,1.5733881019557048,6.998462146376437,12
bignum-factorial-2000.arr,true,eval,76.5557335076828,136.51618350974272,17
inner-function-1000.arr,true,parse,47.347852759134206,5.0025066028951874,60
inner-function-1000.arr,true,load,2.7906960199036313,4.9609044428659725,18
inner-function-1000.arr,true,eval,236.13101309950392,11.853314079971433,66
list-set-const-1000.arr,true,parse,48.96354201715985,7.684851015138521,55
list-set-const-1000.arr,true,load,1.3570371234402945,17.286476192160027,10
list-set-const-1000.arr,true,eval,115.43272974424694,60.62259397460428,56
list-set-grow-1000.arr,true,parse,51.39662386309566,9.01642277823642,64
list-set-grow-1000.arr,true,load,1.6618419134785274,10.078747598429707,13
list-set-grow-1000.arr,true,eval,2.1616916435425315,212.399620383463,15
many-links-100000.arr,true,parse,108.28262465986971,51.67370108869136,31
many-links-100000.arr,true,load,2.2306570301255007,6.551354786036426,16
many-links-100000.arr,true,eval,4.712572582234085,208.33954822188704,16
method-calls-10000.arr,true,parse,56.77513131923246,10.65729774667181,42
method-calls-10000.arr,true,load,2.247533541976714,10.67046570911637,16
method-calls-10000.arr,true,eval,17.908709224118056,203.0216091226617,11
mutable-string-dict-const-10000.arr,true,parse,30.093446163006675,42.31228084723963,40
mutable-string-dict-const-10000.arr,true,load,1.5949290356268857,8.380239208137484,12
mutable-string-dict-const-10000.arr,true,eval,19.689920556979395,190.79738947845337,17
mutable-string-dict-grow-10000.arr,true,parse,31.499231404972807,12.55204521653868,42
mutable-string-dict-grow-10000.arr,true,load,1.396117454089084,18.50396833239971,12
mutable-string-dict-grow-10000.arr,true,eval,12.076329819423448,206.89603187468632,12
recursion-triangle-20000.arr,true,parse,32.078132134866905,11.192779581204562,44
recursion-triangle-20000.arr,true,load,1.8450784517726386,31.553575371733423,15
recursion-triangle-20000.arr,true,eval,46.09023670590017,168.9015713305385,13
recursion-triangle-annotated-20000.arr,true,parse,17.213028953939002,50.292846175320314,24
recursion-triangle-annotated-20000.arr,true,load,1.4579748032050943,7.973722058122457,12
recursion-triangle-annotated-20000.arr,true,eval,28.88238077218342,187.48002202053016,14
recursive-calls-10000.arr,true,parse,29.46683066806468,59.05371022633014,37
recursive-calls-10000.arr,true,load,1.7616018560271844,8.128012589922637,13
recursive-calls-10000.arr,true,eval,24.227052339896392,194.92357379740923,13
string-allocation-10000.arr,true,parse,114.86751303556427,9.371880071814036,51
string-allocation-10000.arr,true,load,2.0757852224154765,5.985086693670542,15
string-allocation-10000.arr,true,eval,16.111241539642002,205.93056094103486,11
string-dict-const-10000.arr,true,parse,46.52575365394599,7.300327540761738,59
string-dict-const-10000.arr,true,load,1.5863286596205397,8.171625187487212,12
string-dict-const-10000.arr,true,eval,11.460638258368007,186.50520284757428,50
string-dict-grow-10000.arr,true,parse,24.418585305446726,5.939060069458671,34
string-dict-grow-10000.arr,true,load,0.9429319981603987,4.8988492893511655,9
string-dict-grow-10000.arr,true,eval,1.5717691192527665,210.2513127083758,17
tree-set-const-10000.arr,true,parse,47.07891657407248,2.7788748949764517,60
tree-set-const-10000.arr,true,load,1.8496781790517625,16.55560386501388,14
tree-set-const-10000.arr,true,eval,4.1079956983961,217.4889469618463,11
tree-set-grow-10000.arr,true,parse,39.00553557279621,3.680156395770409,28
tree-set-grow-10000.arr,true,load,1.954970111318664,10.012040983630248,14
tree-set-grow-10000.arr,true,eval,0.5237515322022701,211.38389278871642,17
