name,success,function,hz,rme,samples
0_empty.arr,true,parse,248.94793625086663,1.2403583660812731,31
0_empty.arr,true,load,4.231334575438451,13.846990325151742,26
0_empty.arr,true,eval,245.38633221878075,6.182864390000069,38
1_empty-with-comments.arr,true,parse,10.585245616025702,6.794816048098459,30
1_empty-with-comments.arr,true,load,4.486836939635453,8.108856337883076,26
1_empty-with-comments.arr,true,eval,257.63485945062337,7.614570264186135,78
adding-ones-2000.arr,true,parse,1.3426676217450833,15.106599240123156,8
adding-ones-2000.arr,true,load,0.0982405686562169,13.870892620362774,5
adding-ones-2000.arr,true,eval,55.03390847389133,162.94605446793724,18
anf-loop-compiler.arr,true,parse,0.473245562763532,21.72552318651603,6
anf-loop-compiler.arr,true,load,0.07116890350681979,2.8721250238654896,5
anf-loop-compiler.arr,true,eval,20.74330795824079,192.48336913260547,18
ast.arr,true,parse,0.17577599933607407,30.76458626009461,5
ast.arr,true,load,0.021490138728038285,34.26283857299253,5
ast.arr,true,eval,7.60125634455949,203.92903287932356,18
bignum-factorial-2000.arr,true,parse,48.87112692415569,6.383673425209385,37
bignum-factorial-2000.arr,true,load,2.3974753878109847,16.32965926613337,16
bignum-factorial-2000.arr,true,eval,73.40138728903865,146.85585153265734,13
inner-function-1000.arr,true,parse,41.926433535956626,5.389174173012186,57
inner-function-1000.arr,true,load,1.9253698913055133,11.376651520946476,14
inner-function-1000.arr,true,eval,237.31178952120834,7.543496176127992,71
list-set-const-1000.arr,true,parse,58.54055885988999,3.7291034108774657,59
list-set-const-1000.arr,true,load,1.797695726478239,2.5180679043944734,13
list-set-const-1000.arr,true,eval,117.21953988738844,105.22847766117056,13
list-set-grow-1000.arr,true,parse,67.27345972526122,5.045203956328016,64
list-set-grow-1000.arr,true,load,1.6865972779295402,51.14460906418656,11
list-set-grow-1000.arr,true,eval,4.565985256918948,210.3063244514471,15
many-links-100000.arr,true,parse,68.70532103351576,40.249326456079636,27
many-links-100000.arr,true,load,0.08822787645624416,137.7665116388082,6
many-links-100000.arr,true,eval,0.5060558019676837,212.6149909400691,16
method-calls-10000.arr,true,parse,28.98939183611098,59.82540926487967,49
method-calls-10000.arr,true,load,1.576287345570063,4.335259610223736,12
method-calls-10000.arr,true,eval,17.014016180239803,198.95507827825654,14
mutable-string-dict-const-10000.arr,true,parse,57.71017220905832,4.545289448832489,70
mutable-string-dict-const-10000.arr,true,load,1.4325759815468933,5.37287140200838,12
mutable-string-dict-const-10000.arr,true,eval,22.19029608827995,193.73720609749367,14
mutable-string-dict-grow-10000.arr,true,parse,53.8627405976373,4.253796226555044,55
mutable-string-dict-grow-10000.arr,true,load,1.60857987521304,1.9147850509231845,13
mutable-string-dict-grow-10000.arr,true,eval,22.69577529605579,195.3141895041939,13
recursion-triangle-20000.arr,true,parse,56.690216369339964,3.4980227793689425,57
recursion-triangle-20000.arr,true,load,1.6248011411976293,1.449953271219682,13
recursion-triangle-20000.arr,true,eval,47.85136689193126,167.72297642762447,15
recursion-triangle-annotated-20000.arr,true,parse,45.669933370896736,37.64606097238629,54
recursion-triangle-annotated-20000.arr,true,load,1.5038192870628808,8.038754277323152,12
recursion-triangle-annotated-20000.arr,true,eval,39.84219302482784,176.86552673273047,15
recursive-calls-10000.arr,true,parse,41.701561228155576,30.68494938254523,42
recursive-calls-10000.arr,true,load,1.716434373694073,1.812478597285902,13
recursive-calls-10000.arr,true,eval,26.611220862837275,191.01625128906085,14
string-allocation-10000.arr,true,parse,77.03392201371571,20.731503173376943,46
string-allocation-10000.arr,true,load,1.764738581840929,2.658965396798556,13
string-allocation-10000.arr,true,eval,30.542406601812402,187.06646139272337,14
string-dict-const-10000.arr,true,parse,7.01694835770944,46.00754665209886,12
string-dict-const-10000.arr,true,load,1.618264253991063,6.690673175428982,13
string-dict-const-10000.arr,true,eval,5.372423206138035,210.95228953555596,14
string-dict-grow-10000.arr,true,parse,50.111133358891024,4.3905394431233775,52
string-dict-grow-10000.arr,true,load,1.532508580985195,5.339567030143411,12
string-dict-grow-10000.arr,true,eval,1.7153347636822416,216.01658419471826,13
tree-set-const-10000.arr,true,parse,54.281932906723625,5.969625102344227,47
tree-set-const-10000.arr,true,load,1.3489788080257374,34.28889257644036,11
tree-set-const-10000.arr,true,eval,16.423840036723075,160.91461945175683,42
tree-set-grow-10000.arr,true,parse,14.11961481555532,50.77599772899006,19
tree-set-grow-10000.arr,true,load,0.9151917138805801,38.07766734497927,11
tree-set-grow-10000.arr,true,eval,1.4690690087636347,205.57185507394476,24
